ID;birthcountry;age;colorblind;gender;experience;maptype;taraxa;phrengal;kovaire;cameron;ajaxa;centralia;laurenia;gelesia;ravinia;midian;nostate;idk;confidence
2;Germany;25;No;Female;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;5
6;Germany;24;No;Female;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;2
7;United States;29;No;Male;Yes;s;No;No;No;No;No;No;No;No;No;No;No;Yes;
8;Russia;19;No;Male;No;b;Yes;No;No;No;Yes;No;No;No;No;No;No;No;4
12;Colombia;25;No;Female;No;s;No;No;No;Yes;No;No;No;Yes;No;No;No;No;1
13;Malaysia;29;No;Female;Yes;b;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;4
14;Colombia;30;No;Female;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;3
15;Russia;27;No;Female;No;b;No;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;2
17;Germany;27;No;Female;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
20;Turkey;24;No;Female;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
21;Russia;29;No;I'd rather not say;Yes;s;Yes;No;No;No;No;No;No;No;No;No;No;No;1
27;France;23;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
33;Austria;19;No;Female;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
37;Colombia;27;No;Female;No;s;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;3
39;Italy;30;No;Female;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;2
40;Russia;29;No;Female;Yes;b;No;No;No;No;No;No;No;No;Yes;No;No;No;2
42;Colombia;28;No;Female;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
45;Russia;24;No;I'd rather not say;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
48;China;25;No;Female;Yes;s;No;No;No;No;No;Yes;No;No;No;No;No;No;2
49;Germany;29;No;Male;Yes;s;Yes;No;No;Yes;No;No;No;No;No;No;No;No;1
55;Germany;26;No;Female;No;s;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;2
57;United States;32;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
60;Colombia;32;No;Female;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
61;Poland;25;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;3
67;Japan;23;No;Male;No;s;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;3
68;Malaysia;23;No;Male;No;s;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;3
70;Malaysia;21;No;Male;No;s;No;No;No;Yes;No;No;No;Yes;No;No;No;No;3
72;Malaysia;35;No;Female;Yes;s;No;No;No;Yes;No;No;No;No;No;No;No;No;4
75;Germany;37;No;Female;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
77;Colombia;28;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
79;Colombia;66;No;Female;No;s;No;No;No;Yes;No;No;No;No;No;No;No;No;3
80;Colombia;28;No;Male;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
85;China;27;No;Female;Yes;b;No;No;No;Yes;No;No;No;No;No;No;No;No;2
86;United Kingdom;;No;I'd rather not say;Yes;s;Yes;No;No;No;No;No;No;No;No;No;No;No;2
89;Nepal;28;No;Male;No;s;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;3
91;Colombia;28;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
95;Colombia;69;No;Male;No;b;Yes;No;No;Yes;No;No;No;No;No;No;No;No;2
96;Colombia;56;No;Female;No;s;Yes;No;No;No;No;No;No;Yes;No;No;No;No;5
99;Spain;64;No;Female;Yes;s;No;No;No;Yes;No;No;No;Yes;No;No;No;No;5
102;Colombia;27;No;Female;No;s;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;2
104;Colombia;25;No;Female;No;b;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;5
108;Colombia;34;Yes;Female;No;b;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;4
113;Colombia;27;No;Male;No;s;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;4
