ID;birthcountry;age;colorblind;gender;experience
2;Germany;25;No;Female;Yes
6;Germany;24;No;Female;Yes
7;United States;29;No;Male;Yes
8;Russia;19;No;Male;No
12;Colombia;25;No;Female;No
13;Malaysia;29;No;Female;Yes
14;Colombia;30;No;Female;No
15;Russia;27;No;Female;No
17;Germany;27;No;Female;Yes
19;Russia;29;No;Male;Yes
20;Turkey;24;No;Female;No
21;Russia;29;No;I'd rather not say;Yes
27;France;23;No;Male;Yes
33;Austria;19;No;Female;No
37;Colombia;27;No;Female;No
39;Italy;30;No;Female;No
40;Russia;29;No;Female;Yes
42;Colombia;28;No;Female;No
45;Russia;24;No;I'd rather not say;Yes
48;China;25;No;Female;Yes
49;Germany;29;No;Male;Yes
55;Germany;26;No;Female;No
57;United States;32;No;Male;Yes
59;Greece;26;No;Male;Yes
60;Colombia;32;No;Female;No
61;Poland;25;No;Male;Yes
67;Japan;23;No;Male;No
68;Malaysia;23;No;Male;No
70;Malaysia;21;No;Male;No
72;Malaysia;35;No;Female;Yes
75;Germany;37;No;Female;Yes
76;Germany;43;No;Female;Yes
77;Colombia;28;No;Male;Yes
79;Colombia;66;No;Female;No
80;Colombia;28;No;Male;No
85;China;27;No;Female;Yes
86;United Kingdom;;No;I'd rather not say;Yes
89;Nepal;28;No;Male;No
91;Colombia;28;No;Male;No
95;Colombia;69;No;Male;No
96;Colombia;56;No;Female;No
99;Spain;64;No;Female;Yes
102;Colombia;27;No;Female;No
104;Colombia;25;No;Female;No
108;Colombia;34;Yes;Female;No
113;Colombia;27;No;Male;No
117;Colombia;25;No;Female;No
122;China;24;No;Male;Yes
124;Colombia;29;No;Female;No
125;Mexico;27;No;Male;Yes
126;Other / I'd rather not say;35;No;Female;Yes
128;Other / I'd rather not say;26;No;I'd rather not say;Yes
130;Germany;27;No;Male;Yes
131;Mexico;25;No;Male;Yes
132;Portugal;22;No;Male;No
133;United States;27;No;Female;No
138;Germany;20;No;Male;No
141;Germany;57;No;Female;No
144;Germany;20;No;Male;No
