ID;birthcountry;age;colorblind;gender;experience;maptype;city1;city2;city3;city4;city5;city6;city7;city8;city9;city10;city11
2;Germany;25;No;Female;Yes;b;athenia;arcadia;lakhoma;brevia;centralis;mustang;kara;;;;
6;Germany;24;No;Female;Yes;s;mustang;arcadia;lakhoma;cheyenne;ajax;centralis;athena;;;;
7;United States;29;No;Male;Yes;s;ajax;kara;mustang;chennyyee;haravee;;;;;;
8;Russia;19;No;Male;No;s;cheyenna;ajax;roscovina;brevia;athenia;kara;havare;lakhoma;centralis;arcadia;mustang
12;Colombia;25;No;Female;No;s;ajax;mustang;aradia;taraxa;centralia;;;;;;
13;Malaysia;29;No;Female;Yes;s;ajax;kara;mustang;cheyenna;centralia;;;;;;
14;Colombia;30;No;Female;No;b;ajax;cheyenne;mustang;arcadia;roscovina;atralia;thelia;;;;
15;Russia;27;No;Female;No;s;cheyenna;arcadia;mustang;kara;brevia;roscovina;centralis;ajax;;;
17;Germany;27;No;Female;Yes;b;arcadia;revenia;;;;;;;;;
19;Russia;29;No;Male;Yes;b;roscovina;centralia;;;;;;;;;
20;Turkey;24;No;Female;No;s;kara;ajax;mustang;arcadia;havare;arcadia;centralis;lakhoma;brevia;;
21;Russia;29;No;I'd rather not say;Yes;s;ajax;brevia;cheyenna;kara;mustang;;;;;;
27;France;23;No;Male;Yes;s;ajax;mustang;kara;athenia;hara;;;;;;
33;Austria;19;No;Female;No;s;ajak;brevia;midiana;;;;;;;;
37;Colombia;27;No;Female;No;s;centralis;mustang;cheyenna;arcadia;havare;;;;;;
39;Italy;30;No;Female;No;s;centralis;mustang;cheyenna;havare;arcadia;ajax;;;;;
40;Russia;29;No;Female;Yes;b;cheyenn;;;;;;;;;;
42;Colombia;28;No;Female;No;b;mustang;centralia;;;;;;;;;
45;Russia;24;No;I'd rather not say;Yes;b;mustang;ajax;;;;;;;;;
48;China;25;No;Female;Yes;b;rosconia;mustang;;;;;;;;;
49;Germany;29;No;Male;Yes;s;mustang;centralia;ajax;chayenne;athenia;lakhoma;;;;;
55;Germany;26;No;Female;No;b;cheyena;ajax;centralis;athenia;rovenia;;;;;;
57;United States;32;No;Male;Yes;s;mustang;ajax;brevia;centralis;;;;;;;
59;Greece;26;No;Male;Yes;s;kara;ajax;mustang;cheyennia;;;;;;;
60;Colombia;32;No;Female;No;s;ajax;mustang;centralia;haare;;;;;;;
61;Poland;25;No;Male;Yes;b;ajax;kara;athenia;mustang;arcadia;;;;;;
67;Japan;23;No;Male;No;s;mustang;ajax;kara;havare;centralis;athenia;;;;;
68;Malaysia;23;No;Male;No;s;ajax;kara;centralis;arcadia;mustang;cheyenna;;;;;
70;Malaysia;21;No;Male;No;s;ajax;athenia;arcadia;mustang;centralis;havara;cheyenna;brevia;kara;;
72;Malaysia;35;No;Female;Yes;s;;;;;;;;;;;
75;Germany;37;No;Female;Yes;s;mustang;havare;ajax;;;;;;;;
76;Germany;43;No;Female;Yes;b;centralis;kara;ajax;athenia;;;;;;;
77;Colombia;28;No;Male;Yes;s;lahoma;kara;roscovina;cheyenna;centralia;;;;;;
79;Colombia;66;No;Female;No;b;ajax;mustang;arcadia;mustang;;;;;;;
80;Colombia;28;No;Male;No;b;roscovina;mustang;ajax;cheyenne;athenia;;;;;;
85;China;27;No;Female;Yes;s;lakhoma;ajax;chenyenna;kara;;;;;;;
86;United Kingdom;;No;I'd rather not say;Yes;b;ajax;cheyenna;brevia;roscovia;havare;kara;;;;;
89;Nepal;28;No;Male;No;s;ajax;mustang;havena;cheyenna;;;;;;;
91;Colombia;28;No;Male;No;s;cheyyena;ajax;mustang;kara;centralia;athenia;;;;;
95;Colombia;69;No;Male;No;s;ayaxa;centralis;mustang;havara;;;;;;;
99;Spain;64;No;Female;Yes;b;;;;;;;;;;;
102;Colombia;27;No;Female;No;s;ajax;arthenia;breviana;chayanna;mustang;;;;;;
104;Colombia;25;No;Female;No;b;roscovia;mustang;ajax;brevnia;;;;;;;
108;Colombia;34;Yes;Female;No;b;kovaire;laurenia;midian;centralia;geleisi;ajaxa;taraxa;;;;
113;Colombia;27;No;Male;No;b;ajax;centralis;mustang;roscovia;;;;;;;
117;Colombia;25;No;Female;No;b;cheyenna;ajax;kara;arcadia;mustang;centralis;rhoma;;;;
122;China;24;No;Male;Yes;s;chenyena;;;;;;;;;;
124;Colombia;29;No;Female;No;b;cheyenna;ajax;mustang;centralis;brevia;;;;;;
125;Mexico;27;No;Male;Yes;s;ajax;kara;mustang;centralis;;;;;;;
126;Other / I'd rather not say;35;No;Female;Yes;b;lakomma;mustang;;;;;;;;;
128;Other / I'd rather not say;26;No;I'd rather not say;Yes;s;mandalia;axan;centralia;;;;;;;;
130;Germany;27;No;Male;Yes;s;brevia;;;;;;;;;;
131;Mexico;25;No;Male;Yes;s;athenia;kara;brevia;ajax;cheyenna;mustang;centralis;;;;
132;Portugal;22;No;Male;No;b;cheyenna;centralis;mustang;arcadia;ajax;;;;;;
133;United States;27;No;Female;No;s;mustang;lakhoma;centralia;;;;;;;;
138;Germany;20;No;Male;No;b;centralis;ajax;mustang;brevia;athenia;;;;;;
141;Germany;57;No;Female;No;s;ajax;kara;mustang;;;;;;;;
144;Germany;20;No;Male;No;b;ajax;centralia;kala;cheyenne;havre;;;;;;
145;Germany;55;No;Male;No;s;mustang;centralia;athena;cheyenna;ajax;arcadia;;;;;
148;Germany;22;No;Male;No;s;centralis;ajax;mustang;lakhoma;;;;;;;
150;Germany;53;No;Female;No;b;roscovina;;;;;;;;;;
151;Colombia;38;No;Female;No;s;cheyenna;ajax;mustang;centralis;arcadia;;;;;;
152;Germany;18;No;Female;No;b;cheyenna;ajax;roscovina;kara;centralis;;;;;;
154;Israel;27;No;Male;Yes;s;athenia;;;;;;;;;;
156;Mexico;27;No;Female;Yes;s;kara;brevia;arcadia;mustang;havare;ajax;;;;;
162;United States;53;No;Male;Yes;s;lahkoma;centralia;athenia;mustang;kara;;;;;;
163;Germany;35;No;Male;Yes;s;centralia;ajax;havaria;;;;;;;;
166;Germany;56;No;Female;No;b;mustang;athenia;;;;;;;;;
169;France;27;No;Male;Yes;b;centralia;ajax;arcadia;;;;;;;;
170;United Kingdom;51;No;Male;Yes;s;cheyenna;ajax;mustang;;;;;;;;
171;United States;45;No;Male;Yes;b;mustang;acadia;athenia;rhentia;;;;;;;
175;Canada;29;No;Female;Yes;b;centralia;laconis;;;;;;;;;
