ID;birthcountry;age;colorblind;gender;experience;maptype;time;relation;confidence;happiness;sadness;fear;disgust;anger;surprise;none;taraxa;phrengal;kovaire;cameron;ajaxa;centralia;laurenia;gelesia;ravinia;midian;nostate;idk
2;Germany;25;No;Female;Yes;s;88,86;As one increases, so does the other;4;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
6;Germany;24;No;Female;Yes;s;25,42;As one increases, so does the other;5;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
7;United States;29;No;Male;Yes;b;91,91;No relationship;3;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
8;Russia;19;No;Male;No;b;137,63;As one increases, so does the other;4;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
12;Colombia;25;No;Female;No;b;22,99;No relationship;5;No;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
13;Malaysia;29;No;Female;Yes;s;99,91;No relationship;3;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
14;Colombia;30;No;Female;No;b;38,74;As one increases, so does the other;5;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No
15;Russia;27;No;Female;No;b;41,38;As one increases, so does the other;5;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
17;Germany;27;No;Female;Yes;b;64,77;As one increases, so does the other;5;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No
19;Russia;29;No;Male;Yes;b;55,85;As one increases, so does the other;5;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
20;Turkey;24;No;Female;No;b;11,05;As one increases, so does the other;5;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
21;Russia;29;No;I'd rather not say;Yes;b;49,96;As one increases, so does the other;5;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
27;France;23;No;Male;Yes;b;61,12;As one increases, so does the other;4;No;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
33;Austria;19;No;Female;No;s;62,34;As one increases, the other decreases;1;No;No;Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No
37;Colombia;27;No;Female;No;b;62,44;As one increases, so does the other;4;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
39;Italy;30;No;Female;No;s;20,85;As one increases, the other decreases;5;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
40;Russia;29;No;Female;Yes;s;17,63;As one increases, so does the other;3;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
