ID;birthcountry;age;colorblind;gender;experience;maptype;place1;place2;place3;place4;place5;place6;place7;place8;place9;place10;place11;place12;place13;place14;place15;place16;place17;place18;place19
2;Germany;25;No;Female;Yes;s;bank of randalia;st michael's chathedral;st victor's cathedral;dolby park;;;;;;;;;;;;;;;
6;Germany;24;No;Female;Yes;s;dolby park;roscovina medical center;st agnes cathedral;;;;;;;;;;;;;;;;
7;United States;29;No;Male;Yes;b;st michaels cathedral;ajax hotel;hotel superior;;;;;;;;;;;;;;;;
8;Russia;19;No;Male;No;b;roscovina bank;bank of randalia;st. michael's cathedral;roscovina art museum;hotel superior;;;;;;;;;;;;;;
12;Colombia;25;No;Female;No;b;dolby park;hotel superior;the randalia;randalia bank;;;;;;;;;;;;;;;
13;Malaysia;29;No;Female;Yes;s;dolby park;st victor's cathedral;bank of randalia;st. michael's cathedral;the mill;;;;;;;;;;;;;;
14;Colombia;30;No;Female;No;b;;;;;;;;;;;;;;;;;;;
15;Russia;27;No;Female;No;s;museum;;;;;;;;;;;;;;;;;;
17;Germany;27;No;Female;Yes;s;st michaels;harbor green;hotel;lucy statue;st victors;;;;;;;;;;;;;;
19;Russia;29;No;Male;Yes;b;hydra avenue;empire avenue;harbor avenue;hotel randalia;;;;;;;;;;;;;;;
20;Turkey;24;No;Female;No;s;bank of randalia;midtown medical center;roscovina bank;st. victor's cathedral;st. michael's cathedral;dolby park;;;;;;;;;;;;;
21;Russia;29;No;I'd rather not say;Yes;b;dolloy park;;;;;;;;;;;;;;;;;;
27;France;23;No;Male;Yes;s;hotel superior;st michael's cathedral;dolby park;;;;;;;;;;;;;;;;
33;Austria;19;No;Female;No;b;hotel of radnia;;;;;;;;;;;;;;;;;;
37;Colombia;27;No;Female;No;b;dolby park;hotel superior;bank of randalia;embers;randalia tower;;;;;;;;;;;;;;
39;Italy;30;No;Female;No;s;st michaels cathedral;bank of roscovina;;;;;;;;;;;;;;;;;
40;Russia;29;No;Female;Yes;b;roscovina art museum;4th street;5th street;3th street;;;;;;;;;;;;;;;
42;Colombia;28;No;Female;No;s;;;;;;;;;;;;;;;;;;;
45;Russia;24;No;I'd rather not say;Yes;b;st. michaels cathedral;roscovia bank;hotel with rainbow emoji;;;;;;;;;;;;;;;;
48;China;25;No;Female;Yes;s;grenier street;empire street;;;;;;;;;;;;;;;;;
49;Germany;29;No;Male;Yes;s;randalia bank;restaurant;randalia university;;;;;;;;;;;;;;;;
55;Germany;26;No;Female;No;s;lucy statue;harbor green;;;;;;;;;;;;;;;;;
57;United States;32;No;Male;Yes;s;lucy's monument;;;;;;;;;;;;;;;;;;
59;Greece;26;No;Male;Yes;s;dolby green;;;;;;;;;;;;;;;;;;
60;Colombia;32;No;Female;No;b;hotel superior;;;;;;;;;;;;;;;;;;
61;Poland;25;No;Male;Yes;s;hotel randalia;randalia tower;bank of randalia;lucy statue;st victor's cathedral;;;;;;;;;;;;;;
67;Japan;23;No;Male;No;s;dolby park;hotel superior;bank of randalia;randalia tower;hotel randalia;roscovina bank;roscovina museum;roscovania hotel;;;;;;;;;;;
68;Malaysia;23;No;Male;No;b;;;;;;;;;;;;;;;;;;;
70;Malaysia;21;No;Male;No;b;st. michael cathedral;st. xavier cathedral;xavier hotel;the mill;civic centre museum;;;;;;;;;;;;;;
72;Malaysia;35;No;Female;Yes;b;;;;;;;;;;;;;;;;;;;
75;Germany;37;No;Female;Yes;b;bank of randalia;hotel randalia;st. michaels cathedral;randalia tower;;;;;;;;;;;;;;;
76;Germany;43;No;Female;Yes;s;dolby park;harbor green;hotel randalia;agnes theatre;hotel superior;;;;;;;;;;;;;;
77;Colombia;28;No;Male;Yes;s;lucy statue;saint victors cathedral;randalia bank;randalia museum;hydra street;street 3;;;;;;;;;;;;;
79;Colombia;66;No;Female;No;b;bank of randalia;dolby park;roscoviina city library;hotel superior;randalia monument;;;;;;;;;;;;;;
80;Colombia;28;No;Male;No;s;roscovina city library;roscovina médical center;st michael's;roscovina library;xiavier hotel;lucy statue;randalia's square;;;;;;;;;;;;
85;China;27;No;Female;Yes;s;;;;;;;;;;;;;;;;;;;
86;United Kingdom;;No;I'd rather not say;Yes;s;roscovina bank;roscovina bank;randalia hotel;lucy statue;tower;green;;;;;;;;;;;;;
89;Nepal;28;No;Male;No;s;rascovina cathedral;city centre arena;medical centre;;;;;;;;;;;;;;;;
91;Colombia;28;No;Male;No;s;;;;;;;;;;;;;;;;;;;
95;Colombia;69;No;Male;No;b;banks;hotels;restaurants;parks;;;;;;;;;;;;;;;
96;Colombia;56;No;Female;No;b;;;;;;;;;;;;;;;;;;;
99;Spain;64;No;Female;Yes;s;;;;;;;;;;;;;;;;;;;
102;Colombia;27;No;Female;No;b;civic theatre;bank...;tower....;randalian monument;hotel...;;;;;;;;;;;;;;
104;Colombia;25;No;Female;No;s;cathedral;health;teathre;bank;hotel;;;;;;;;;;;;;;
108;Colombia;34;Yes;Female;No;s;;;;;;;;;;;;;;;;staduims;nightclubs;cinemas;bars
